h3_index,hazard_baseline,hazard_enhanced,vulnerability,risk_baseline,risk_enhanced,risk_category,burned
892830005b7ffff,0.841132925732715,0.9201945601389578,0.1830336491221679,0.15395562879366428,0.16842656824460164,Low,0
892830005bbffff,0.7757009118744191,0.9163423454417644,0.1777703515929605,0.13789662383489557,0.16289850092870053,Low,0
892830005c3ffff,0.798740326349809,0.9232924759873673,0.1747892127446648,0.13961119283009976,0.16138156501090425,Low,0
892830005c7ffff,0.8560907451404309,0.9284118345615241,0.17925945953725134,0.15346236428871643,0.16642660369148682,Low,0
892830005cbffff,0.5432991663745037,0.901996713648243,0.061490064092185354,0.03340750056159911,0.05546383573317102,Low,0
892830005cfffff,0.8341773940977675,0.9302540905536033,0.13599486211822,0.11344383969246197,0.12650977677974742,Low,0
892830005d3ffff,0.7709583936351846,0.912572751349498,0.1807503134055361,0.1393509712721883,0.16494781081177412,Low,0
892830005d7ffff,0.9567587516372993,0.912686240453248,0.1837290304106308,0.1757843577752065,0.1676869580275991,Low,0
892830005dbffff,0.8169046079982185,0.9085378445785518,0.14493599750391872,0.1183988842257695,0.13167983877405268,Low,0
89283000803ffff,0.7806680695528821,0.9214642134027206,0.18376378432014753,0.14345851875894178,0.16933175097047193,Low,0
89283000807ffff,0.9530204582277167,0.9172592712642786,0.1823087315188107,0.17374395085097075,0.16722437421805933,Low,0
8928300080bffff,0.7461263312110563,0.9345331645754262,0.17481746826966693,0.13043591623165185,0.163372721845116,Low,0
8928300080fffff,0.79856694644185,0.9371329674366508,0.1807818187067459,0.1443663849368502,0.1694166022232474,Low,0
89283000813ffff,0.7615877283554608,0.9122976325914052,0.1785555687879018,0.13598573001839537,0.1628958226912146,Low,0
89283000817ffff,0.9455402304327138,0.9112536052515499,0.17645808914828381,0.16684822227498464,0.16079806991217302,Low,0
8928300081bffff,0.9578260551211288,0.9394985657170303,0.18077613630601733,0.17315209349803204,0.16983892077536963,Low,0
89283000823ffff,0.9153784320414731,0.9705691366848004,0.18693852904511948,0.17111949760546086,0.1814367667484481,Low,0
89283000827ffff,0.9518707255841566,0.945172834168472,0.18017102577282443,0.17149952503162016,0.17029275906474128,Low,0
8928300082bffff,0.9622061068131897,0.9733439985302536,0.1748462137040216,0.1682380945791736,0.1701855127745476,Low,0
8928300082fffff,0.7468686956773039,0.957523986953456,0.17931756344572136,0.1339266747227381,0.1717008682813264,Low,0
89283000833ffff,0.7427077780584338,0.9477196695066128,0.17675571928615233,0.13127784753013846,0.16751487186527592,Low,0
89283000837ffff,0.9145063187947077,0.9755961367963403,0.17713939748572696,0.16199509830818465,0.17281651186150657,Low,0
8928300083bffff,0.9611276236021975,0.9571854313804636,0.1824881143140818,0.1753943676463396,0.17467496442153174,Low,0
89283000843ffff,0.744275324947852,0.9458768888283469,0.18225699408027474,0.13564938349311523,0.1723926785278567,Low,0
89283000847ffff,0.8995320452440567,0.9527415764140086,0.17928583126277323,0.16127335047908326,0.1708130655059905,Low,0
8928300084bffff,0.9530113901766611,0.9564154164257177,0.1777868307468899,0.1694328747251963,0.1700380657637953,Low,0
8928300084fffff,0.9094524450383956,0.9647268768009469,0.18077770302973334,0.16440872402881596,0.17440110883912371,Low,0
89283000853ffff,0.7995374890224095,0.9314477867427972,0.17481724774202592,0.1397729432974679,0.16283313849377729,Low,0
